Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-WordOfGod,0.5901,2.87,"5,962,142"
Main-TheMovie,0.3333,2.91,"2,801,610"
Main-TakeThat,0.2890,3.16,"3,480,818"
Main-MindScrew,0.2814,3.25,"431,387"
Main-DarkerAndEdgier,0.2731,2.57,"12,922,024"
Main-DidNotDoTheResearch,0.2516,3.01,"5,618,798"
Main-SarcasmMode,0.2495,3.44,"256,711"
Main-Retcon,0.2412,2.77,"3,082,447"
Main-TitleDrop,0.2014,2.67,"11,081,775"
Main-AlternateUniverse,0.1949,2.85,"2,208,941"
Main-ContinuityNod,0.1944,2.70,"4,466,749"
Main-ShowWithinAShow,0.1916,2.74,"5,415,050"
Main-TimeTravel,0.1842,2.91,"2,078,459"
Main-Foreshadowing,0.1724,2.72,"4,344,936"
Main-SeriousBusiness,0.1713,3.55,"141,278"
Main-LoadsAndLoadsOfCharacters,0.1703,2.69,"8,005,799"
Main-KilledOffForReal,0.1698,2.77,"1,926,848"
Main-Deconstruction,0.1676,2.80,"3,487,580"
Main-BreakingTheFourthWall,0.1581,2.67,"6,768,647"
Main-Narm,0.1563,3.10,"1,493,255"
Main-GrandFinale,0.1488,2.82,"1,373,973"
Main-TropeCodifier,0.1468,2.82,"4,052,279"
Main-Spinoff,0.1437,2.84,"3,182,371"
Main-CaptainErsatz,0.1427,2.68,"4,487,112"
Main-SpiritualSuccessor,0.1419,2.68,"9,456,304"
Main-EnsembleDarkhorse,0.1416,2.83,"2,536,264"
Main-PutOnABus,0.1413,2.80,"1,919,893"
Main-ShownTheirWork,0.1395,2.70,"6,051,372"
Main-RecycledINSPACE,0.1384,3.29,"189,571"
Main-AffectionateParody,0.1336,2.62,"7,601,614"
Main-AuthorAvatar,0.1324,2.70,"6,024,291"
Main-AllJustADream,0.1271,2.74,"3,537,084"
Main-AnyoneCanDie,0.1265,2.73,"3,228,783"
Main-WhatHappenedToTheMouse,0.1215,2.75,"3,094,181"
Main-Anvilicious,0.1215,2.74,"3,210,865"
Main-CrossOver,0.1205,2.69,"5,896,683"
Main-UnreliableNarrator,0.1193,2.77,"3,020,742"
Main-StatusQuoIsGod,0.1164,2.80,"1,552,807"
