Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-BigBad,1.0000,3.16,"2,278,246"
Main-TheHero,0.4309,2.78,"5,670,779"
Main-CompleteMonster,0.4190,3.32,"605,059"
Main-TheDragon,0.4062,3.23,"513,615"
Main-GenreSavvy,0.3922,2.62,"15,215,245"
Main-HeelFaceTurn,0.3832,2.74,"6,351,935"
Main-AxCrazy,0.3484,2.69,"7,084,169"
Main-ItGotWorse,0.2927,3.35,"218,423"
Main-FaceHeelTurn,0.2829,2.79,"3,185,374"
Main-TooDumbToLive,0.2681,2.64,"9,482,523"
Main-AntiHero,0.2609,2.73,"5,173,557"
Main-CrapsackWorld,0.2476,3.06,"2,343,896"
Main-KickTheDog,0.2349,3.02,"1,450,464"
Main-WellIntentionedExtremist,0.2291,2.69,"4,236,152"
Main-XanatosGambit,0.2261,2.78,"2,861,707"
Main-ManipulativeBastard,0.2149,2.71,"3,962,784"
Main-KnightTemplar,0.2085,2.70,"3,282,307"
Main-BigDamnHeroes,0.2077,2.66,"5,268,205"
Main-TheReveal,0.2053,2.77,"3,496,875"
Main-ArsonMurderAndJaywalking,0.2026,3.34,"208,826"
Main-CorruptCorporateExecutive,0.2025,2.77,"4,184,310"
Main-MindRape,0.1901,2.71,"3,135,184"
Main-WhatTheHellHero,0.1898,3.19,"278,366"
Main-NamesToRunAwayFromReallyFast,0.1875,3.21,"669,898"
Main-TheEndOfTheWorldAsWeKnowIt,0.1871,2.78,"2,169,454"
Main-EvilCounterpart,0.1861,2.65,"3,999,852"
Main-FantasticRacism,0.1860,2.68,"5,312,636"
Main-AGodAmI,0.1848,2.70,"3,731,208"
Main-TheChessmaster,0.1832,2.72,"3,323,100"
Main-HeroicSociopath,0.1822,2.85,"1,605,159"
Main-SmugSnake,0.1816,2.68,"3,488,061"
Main-BackFromTheDead,0.1814,2.73,"3,084,171"
Main-TheEmpire,0.1749,2.87,"1,561,813"
Main-AffablyEvil,0.1748,2.65,"4,711,920"
Main-BloodKnight,0.1730,2.77,"1,862,507"
Main-VillainProtagonist,0.1725,2.68,"5,743,584"
Main-OmnicidalManiac,0.1721,2.79,"1,329,396"
Main-RoaringRampageOfRevenge,0.1666,2.76,"2,899,124"
Main-LaResistance,0.1620,2.86,"1,888,923"
Main-DrivenToSuicide,0.1596,2.71,"5,755,044"
Main-EvilOverlord,0.1594,2.81,"1,549,447"
Main-EvenEvilHasStandards,0.1587,3.14,"334,371"
Main-FateWorseThanDeath,0.1578,2.70,"2,666,835"
Main-EvilTwin,0.1576,2.73,"2,355,905"
Main-DealWithTheDevil,0.1562,2.73,"3,217,918"
Main-BackStory,0.1559,2.94,"1,114,086"
Main-TheMole,0.1550,2.86,"2,015,721"
Main-BatmanGambit,0.1499,2.69,"3,803,894"
Main-HumansAreBastards,0.1496,2.74,"3,374,649"
Main-NotSoDifferent,0.1474,2.70,"2,639,873"
Main-ForTheEvulz,0.1474,2.74,"2,646,649"
Main-IdiotBall,0.1465,2.73,"2,917,941"
Main-DisproportionateRetribution,0.1452,2.61,"6,328,110"
Main-KillEmAll,0.1449,2.78,"2,552,437"
Main-AlwaysChaoticEvil,0.1444,2.75,"2,062,960"
Main-UnstoppableRage,0.1437,2.73,"1,993,877"
Main-EnemyMine,0.1427,2.71,"2,813,717"
Main-WorldWarII,0.1416,2.81,"5,013,322"
Main-DeusExMachina,0.1397,2.71,"3,674,080"
Main-PetTheDog,0.1381,2.70,"2,644,747"
Main-HoistByHisOwnPetard,0.1373,2.68,"3,414,175"
Main-FreudianExcuse,0.1372,2.67,"3,234,258"
Main-PsychoForHire,0.1353,2.78,"1,204,106"
Main-TheMessiah,0.1346,2.80,"1,419,574"
Main-BrainwashedAndCrazy,0.1333,2.81,"1,190,218"
Main-SuperpoweredEvilSide,0.1330,2.80,"1,166,603"
Main-Satan,0.1310,2.81,"1,713,351"
Main-VillainousBreakdown,0.1305,3.19,"99,018"
Main-TheAtoner,0.1262,2.84,"1,431,969"
Main-QuirkyMinibossSquad,0.1244,2.86,"904,174"
Main-EvilLaugh,0.1236,2.70,"2,174,306"
Main-ArtifactOfDoom,0.1231,2.79,"1,453,126"
Main-TheStarscream,0.1212,2.75,"1,251,870"
Main-RedemptionEqualsDeath,0.1190,2.82,"1,251,031"
Main-ProudWarriorRaceGuy,0.1188,2.81,"1,296,273"
Main-CardCarryingVillain,0.1175,2.76,"1,262,630"
Main-PapaWolf,0.1165,2.63,"3,447,112"
Main-TakeAThirdOption,0.1132,2.77,"1,908,370"
Main-ThePowerOfLove,0.1124,2.74,"2,158,424"
Main-XanatosRoulette,0.1094,2.80,"1,043,420"
Main-NotQuiteDead,0.1090,2.82,"986,086"
Main-MyGodWhatHaveIDone,0.1086,2.76,"1,901,625"
Main-EarthShatteringKaboom,0.1079,2.89,"1,118,105"
Main-DependingOnTheWriter,0.1073,2.77,"1,097,575"
Main-TheChosenOne,0.1068,2.84,"1,460,487"
Main-WorthyOpponent,0.1059,2.78,"1,247,381"
Main-ThoseWackyNazis,0.1048,2.95,"1,121,270"
Main-SerialKiller,0.1044,2.87,"1,530,683"
Main-HannibalLecture,0.1015,2.81,"924,816"
Main-IronicEcho,0.1008,2.72,"2,548,251"
Main-ThePowerOfFriendship,0.1005,2.82,"956,807"
Main-TheManBehindTheMan,0.1000,2.81,"1,079,508"
Main-KarmicDeath,0.0998,2.82,"1,153,110"
Main-StartOfDarkness,0.0995,2.86,"663,340"
Main-DespairEventHorizon,0.0982,2.75,"1,998,755"
Main-TakeOverTheWorld,0.0978,2.86,"863,008"
Main-NoHoldsBarredBeatdown,0.0967,2.75,"1,586,776"
Main-ColdBloodedTorture,0.0958,2.84,"1,082,509"
Main-TrueCompanions,0.0957,2.64,"2,241,080"
Main-PersonOfMassDestruction,0.0941,2.82,"813,766"
Main-DefeatMeansFriendship,0.0925,2.81,"1,094,939"
Main-PunchClockVillain,0.0918,2.78,"1,236,120"
Main-HonorBeforeReason,0.0912,3.27,"223,076"
Main-DangerouslyGenreSavvy,0.0903,2.77,"1,057,318"
