Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-BerserkButton,0.3594,3.24,"566,746"
Main-ActionGirl,0.3506,3.11,"1,684,807"
Main-Squick,0.3136,3.70,"136,848"
Main-Fanservice,0.2740,3.04,"4,604,945"
Main-CharacterDevelopment,0.2705,3.23,"258,723"
Main-TheLancer,0.2334,2.72,"3,868,744"
Main-Tsundere,0.2109,3.23,"395,147"
Main-FiveManBand,0.2098,3.16,"1,268,209"
Main-TheBigGuy,0.2053,2.81,"2,554,312"
Main-TheChick,0.2018,2.91,"1,435,440"
Main-TheSmartGuy,0.2000,2.82,"2,235,542"
Main-OnlySaneMan,0.1852,3.32,"239,725"
Main-DoesThisRemindYouOfAnything,0.1811,2.68,"4,571,276"
Main-BewareTheNiceOnes,0.1766,3.20,"248,053"
Main-TheStoic,0.1738,2.82,"1,927,822"
Main-StalkerWithACrush,0.1674,2.69,"4,884,292"
Main-TheRival,0.1531,2.93,"981,096"
Main-GenkiGirl,0.1522,2.81,"2,423,747"
Main-Yandere,0.1505,3.19,"267,234"
Main-ObfuscatingStupidity,0.1486,2.67,"3,799,543"
Main-TheDitz,0.1481,2.87,"2,259,381"
Main-FoeYay,0.1425,2.89,"1,576,106"
Main-GenderBender,0.1386,2.75,"3,045,785"
Main-MsFanservice,0.1363,3.29,"203,412"
Main-HotBlooded,0.1359,2.75,"2,193,573"
Main-AlphaBitch,0.1359,2.77,"3,759,264"
Main-DistressedDamsel,0.1312,2.71,"3,171,168"
Main-MamaBear,0.1307,2.75,"2,480,520"
Main-ParentalAbandonment,0.1291,2.90,"1,986,656"
Main-IdiotHero,0.1274,2.79,"1,717,799"
Main-Flanderization,0.1260,2.66,"2,891,680"
Main-MagicalGirl,0.1247,2.89,"2,099,704"
Main-CreepyChild,0.1188,2.72,"3,615,233"
Main-BadassLongcoat,0.1160,2.74,"2,305,403"
Main-HeterosexualLifePartners,0.1159,2.66,"4,725,767"
Main-AuthorAppeal,0.1158,2.67,"5,235,648"
Main-DarkActionGirl,0.1127,2.79,"1,057,315"
Main-NiceHat,0.1126,2.63,"4,629,165"
Main-SixthRanger,0.1123,2.83,"1,071,863"
Main-ShipTease,0.1110,2.62,"3,363,293"
Main-ThoseTwoGuys,0.1090,2.79,"2,116,478"
Main-LoveTriangle,0.1076,2.80,"2,485,236"
Main-Bishonen,0.1067,3.00,"1,272,640"
Main-AbusiveParents,0.1064,2.71,"3,488,797"
Main-ReallySevenHundredYearsOld,0.1061,2.78,"1,840,017"
Main-BadassBookworm,0.1031,2.68,"2,755,450"
Main-DistaffCounterpart,0.1026,2.74,"3,070,338"
Main-StepfordSmiler,0.0999,2.72,"2,233,390"
Main-CrouchingMoronHiddenBadass,0.0968,2.68,"2,102,009"
Main-BoisterousBruiser,0.0967,2.71,"1,657,679"
Main-LadyOfWar,0.0954,2.75,"1,494,925"
Main-GentleGiant,0.0935,2.77,"1,525,469"
Main-OfficialCouple,0.0930,2.68,"2,081,635"
Main-MarySue,0.0921,3.08,"639,055"
Main-TheAce,0.0917,2.73,"1,682,444"
Main-CoolOldGuy,0.0910,2.74,"1,984,646"
Main-ShrinkingViolet,0.0894,2.84,"1,260,720"
Main-AmbiguouslyGay,0.0894,2.64,"3,051,696"
Main-CampGay,0.0871,2.88,"1,516,752"
Main-RobotGirl,0.0870,2.90,"847,874"
Main-JerkJock,0.0870,2.90,"956,189"
Main-FreudWasRight,0.0867,2.71,"2,488,936"
Main-CatGirl,0.0866,2.80,"2,381,977"
Main-BunnyEarsLawyer,0.0860,2.71,"2,125,653"
Main-PowerTrio,0.0859,3.25,"238,965"
Main-InterspeciesRomance,0.0842,3.20,"383,632"
Main-NiceGuy,0.0833,2.83,"1,094,929"
Main-WhiteHairedPrettyBoy,0.0827,2.79,"1,283,632"
Main-GeniusBruiser,0.0824,2.72,"1,281,125"
Main-OlderThanTheyLook,0.0816,2.75,"1,842,955"
Main-YouGottaHaveBlueHair,0.0814,3.33,"384,405"
Main-RichBitch,0.0810,2.89,"1,055,607"
Main-HappilyMarried,0.0810,2.72,"3,096,613"
Main-CuteBruiser,0.0796,2.79,"1,069,095"
Main-LetsGetDangerous,0.0791,2.74,"1,014,222"
Main-FemmeFatale,0.0791,2.89,"1,101,438"
Main-DisappearedDad,0.0781,2.77,"2,052,114"
Main-CuteShotaroBoy,0.0775,2.84,"728,303"
Main-Wangst,0.0765,2.74,"1,711,622"
Main-DefrostingIceQueen,0.0763,2.77,"1,594,000"
Main-YamatoNadeshiko,0.0760,2.81,"1,431,787"
Main-BrokenBird,0.0757,2.76,"1,383,012"
Main-WholesomeCrossdresser,0.0756,2.86,"1,702,142"
Main-ClingyJealousGirl,0.0755,2.82,"1,182,357"
Main-MissingMom,0.0750,2.76,"2,449,446"
Main-DarkMagicalGirl,0.0747,2.98,"240,668"
Main-DoubleStandard,0.0742,2.84,"2,182,360"
Main-ScaryBlackMan,0.0739,2.77,"1,459,311"
Main-EverythingsBetterWithPrincesses,0.0734,2.80,"1,622,728"
Main-IllGirl,0.0734,2.80,"1,654,851"
Main-TeamMom,0.0733,2.85,"929,292"
Main-RedOniBlueOni,0.0731,2.66,"2,171,271"
Main-VitriolicBestBuds,0.0723,2.72,"1,819,438"
Main-EmotionlessGirl,0.0723,2.89,"611,338"
Main-SplitPersonality,0.0720,2.82,"1,044,943"
Main-ShirtlessScene,0.0719,2.73,"1,884,117"
Main-HiddenDepths,0.0716,2.73,"1,365,138"
Main-Meganekko,0.0692,2.78,"1,635,914"
Main-BelligerentSexualTension,0.0691,2.77,"1,529,684"
Main-ChivalrousPervert,0.0689,2.81,"1,080,246"
Main-HotMom,0.0686,2.74,"1,715,273"
Main-EvenTheGuysWantHim,0.0685,2.80,"1,093,406"
Main-KidHero,0.0682,2.87,"809,207"
Main-HotAmazon,0.0679,2.80,"1,239,814"
Main-DysfunctionJunction,0.0674,2.70,"1,588,223"
Main-Moe,0.0665,2.66,"2,104,749"
Main-GenderFlip,0.0661,2.83,"1,176,061"
Main-ArrangedMarriage,0.0656,2.81,"1,961,103"
Main-BattleCouple,0.0652,2.73,"1,383,302"
Main-TheVamp,0.0651,2.96,"531,818"
Main-PantyShot,0.0650,2.91,"979,806"
Main-HandsomeLech,0.0649,2.90,"627,984"
Main-BadassAdorable,0.0649,2.65,"1,562,200"
Main-CoolBigSis,0.0646,2.95,"501,223"
Main-DeconstructedTrope,0.0644,2.66,"1,778,705"
Main-TheChewToy,0.0640,2.78,"1,036,146"
Main-InsufferableGenius,0.0638,2.84,"746,652"
Main-BrainBleach,0.0633,2.80,"1,431,551"
Main-BattleButler,0.0628,2.88,"499,110"
Main-AmazonBrigade,0.0625,2.83,"702,146"
Main-ADateWithRosiePalms,0.0620,3.27,"149,883"
Main-GeniusDitz,0.0614,2.82,"660,566"
Main-BiTheWay,0.0614,2.85,"1,241,444"
Main-ComedicSociopathy,0.0612,2.91,"672,768"
Main-LimitedWardrobe,0.0597,2.73,"1,534,223"
Main-BitchInSheepsClothing,0.0593,2.80,"962,671"
Main-OrdinaryHighSchoolStudent,0.0590,2.91,"805,266"
Main-StarCrossedLovers,0.0589,2.82,"1,192,849"
Main-Lolicon,0.0587,4.02,"8,828"
Main-AnythingThatMoves,0.0584,2.90,"772,672"
Main-GreenEyedMonster,0.0582,2.80,"1,012,663"
Main-DawsonCasting,0.0581,2.76,"2,624,723"
Main-DepravedBisexual,0.0580,2.84,"817,986"
Main-FieryRedhead,0.0579,2.79,"1,313,093"
Main-Squee,0.0576,2.93,"344,635"
Main-CanNotSpitItOut,0.0575,2.83,"1,062,973"
Main-SlapSlapKiss,0.0574,2.84,"875,012"
Main-PluckyComicRelief,0.0572,2.89,"429,301"
Main-NaughtyTentacles,0.0572,2.80,"1,131,583"
Main-IWantMyBelovedToBeHappy,0.0571,2.84,"942,350"
Main-ReallyGetsAround,0.0571,2.82,"1,173,610"
Main-LittleMissBadass,0.0565,2.82,"670,778"
Main-WillTheyOrWontThey,0.0562,2.89,"664,025"
Main-DirtyOldMan,0.0560,2.92,"538,109"
Main-WrenchWench,0.0558,2.89,"674,432"
Main-Sidekick,0.0557,3.19,"95,738"
Main-EvilIsSexy,0.0557,2.65,"1,418,494"
Main-MaleGaze,0.0554,2.87,"971,272"
Main-ClothingDamage,0.0553,2.84,"790,152"
Main-ChickMagnet,0.0552,2.78,"745,887"
Main-TeenGenius,0.0549,2.93,"494,931"
Main-AllGirlsWantBadBoys,0.0548,2.74,"1,445,835"
Main-ShipperOnDeck,0.0542,2.69,"1,421,492"
Main-Adorkable,0.0540,2.68,"2,121,384"
Main-TokenLoli,0.0535,2.91,"405,324"
Main-NonActionGuy,0.0533,2.88,"389,450"
Main-RapeAsDrama,0.0533,3.25,"255,067"
Main-BeachEpisode,0.0532,2.84,"1,005,560"
Main-HotScientist,0.0532,2.77,"859,338"
Main-DatingCatwoman,0.0529,2.84,"574,182"
Main-UnwantedHarem,0.0528,2.86,"818,482"
Main-PsychoLesbian,0.0527,2.96,"325,100"
Main-TheSpock,0.0524,2.83,"655,989"
Main-SchoolgirlLesbians,0.0522,2.95,"707,520"
Main-DistractedByTheSexy,0.0516,2.83,"772,941"
Main-YaoiFangirl,0.0516,2.93,"741,035"
Main-LoveDodecahedron,0.0510,2.77,"1,084,728"
Main-ObliviousToLove,0.0508,2.77,"1,021,056"
Main-DroppedABridgetOnHim,0.0504,2.82,"830,953"
Main-Shipping,0.0504,3.01,"409,467"
Main-RapeAsComedy,0.0503,2.63,"2,067,008"
Main-PluckyGirl,0.0503,2.93,"490,798"
Main-HeroesWantRedHeads,0.0502,2.79,"825,240"
Main-AdultsAreUseless,0.0501,2.84,"996,363"
Main-AttemptedRape,0.0500,2.85,"751,951"
Main-TomboyAndGirlyGirl,0.0500,2.74,"1,681,766"
Main-RuleThirtyFour,0.0499,3.29,"66,791"
Main-CoolShades,0.0499,2.87,"713,207"
Main-EvilMatriarch,0.0498,2.89,"517,192"
Main-BettyAndVeronica,0.0497,2.76,"1,800,363"
Main-Casanova,0.0495,3.87,"82,251"
Main-TheQuietOne,0.0494,2.87,"619,454"
Main-TagalongKid,0.0494,2.98,"309,353"
Main-BareYourMidriff,0.0494,2.77,"873,576"
Main-GenerationXerox,0.0491,2.79,"948,670"
Main-HairTriggerTemper,0.0490,2.93,"460,515"
Main-AdultChild,0.0487,2.90,"577,529"
Main-MurderTheHypotenuse,0.0486,2.87,"597,875"
Main-SamusIsAGirl,0.0485,2.76,"1,137,398"
Main-GagBoobs,0.0483,2.88,"677,100"
Main-DeathGlare,0.0480,2.80,"535,878"
Main-UnresolvedSexualTension,0.0480,2.75,"970,688"
Main-HornyDevils,0.0480,2.87,"689,009"
Main-BadassFamily,0.0479,2.71,"902,762"
Main-PrettyInMink,0.0479,2.95,"1,197,084"
Main-ReplacementGoldfish,0.0479,2.88,"504,132"
Main-Gonk,0.0470,2.90,"472,962"
Main-DumbBlonde,0.0468,2.73,"1,258,554"
Main-ParentalIncest,0.0468,2.83,"1,178,687"
Main-Otaku,0.0465,2.98,"299,436"
Main-MayDecemberRomance,0.0464,2.74,"1,652,793"
Main-DudeLooksLikeALady,0.0463,2.92,"584,974"
Main-BookDumb,0.0462,2.86,"530,095"
Main-LoveAtFirstSight,0.0457,2.85,"887,703"
Main-HappilyEverAfter,0.0456,2.95,"703,489"
Main-BigBrotherInstinct,0.0456,2.78,"759,494"
Main-Yakuza,0.0455,3.04,"355,538"
Main-CharacterizationMarchesOn,0.0450,2.71,"660,431"
Main-GreenSkinnedSpaceBabe,0.0448,2.90,"349,934"
Main-BrattyHalfPint,0.0446,2.95,"292,518"
Main-PimpedOutDress,0.0444,2.88,"1,452,236"
Main-DoggedNiceGuy,0.0443,2.87,"713,202"
Main-RealMenWearPink,0.0443,2.67,"1,389,268"
Main-Shotacon,0.0443,3.41,"40,542"
Main-FishOutOfWater,0.0441,3.05,"805,256"
Main-SweetPollyOliver,0.0436,2.91,"972,079"
Main-ZettaiRyouiki,0.0436,2.74,"1,159,996"
Main-AmbiguousGender,0.0433,2.92,"436,900"
Main-TheSmurfettePrinciple,0.0433,2.65,"1,549,287"
Main-TheFool,0.0432,2.93,"396,766"
Main-BrilliantButLazy,0.0430,2.84,"577,035"
Main-NotWhatItLooksLike,0.0428,2.87,"790,026"
Main-CasanovaWannabe,0.0427,2.94,"415,819"
Main-WhiteHairedPrettyGirl,0.0427,2.88,"668,747"
Main-GirlOfTheWeek,0.0426,2.92,"399,685"
Main-AloofBigBrother,0.0424,2.97,"224,072"
Main-TheLoad,0.0422,2.76,"677,082"
Main-ThisLoserIsYou,0.0420,2.80,"681,007"
Main-LoveMakesYouCrazy,0.0419,2.89,"493,718"
Main-MistakenForGay,0.0419,2.83,"824,044"
Main-BodyguardCrush,0.0418,2.86,"364,624"
Main-TokenMinority,0.0418,2.87,"696,543"
Main-Gainaxing,0.0417,2.87,"493,835"
Main-ChasteHero,0.0417,2.98,"223,235"
Main-SheIsNotMyGirlfriend,0.0413,2.82,"530,647"
Main-StraightGay,0.0412,2.84,"1,012,493"
Main-BetaCouple,0.0412,2.86,"695,522"
Main-Meido,0.0411,3.00,"220,812"
Main-Bifauxnen,0.0410,2.87,"772,108"
Main-AllMenArePerverts,0.0409,2.91,"692,455"
Main-ActionMom,0.0408,2.86,"399,027"
Main-CelibateHero,0.0407,2.84,"522,949"
Main-MysteriousWaif,0.0406,3.07,"108,457"
Main-PerkyGoth,0.0406,2.96,"425,845"
Main-TroubledButCute,0.0405,2.90,"382,641"
Main-SpoiledBrat,0.0405,3.01,"291,483"
Main-HelloNurse,0.0405,2.91,"401,588"
Main-ClarkKenting,0.0403,2.82,"486,575"
Main-FauxActionGirl,0.0403,2.90,"363,934"
Main-RomanticFalseLead,0.0402,2.88,"447,651"
Main-NoSocialSkills,0.0402,2.86,"444,143"
Main-TeamDad,0.0401,2.89,"254,760"
Main-FreakyFridayFlip,0.0399,2.80,"766,269"
Main-KissingCousins,0.0394,2.92,"544,444"
Main-StraightMan,0.0392,2.91,"491,526"
Main-FanGirl,0.0390,2.83,"507,881"
Main-BigScrewedUpFamily,0.0389,2.81,"584,449"
Main-LoveHurts,0.0388,2.84,"573,615"
Main-PlayingAgainstType,0.0388,2.64,"2,856,795"
Main-IdolSinger,0.0388,2.94,"365,959"
Main-TheHeart,0.0385,2.81,"440,102"
Main-ParentalSubstitute,0.0380,2.95,"280,550"
Main-EvenTheGirlsWantHer,0.0380,2.88,"372,546"
Main-CheerfulChild,0.0380,2.96,"296,300"
Main-HairOfGold,0.0380,2.79,"1,260,075"
Main-ImportantHaircut,0.0379,2.81,"915,234"
Main-SadistTeacher,0.0378,2.91,"517,022"
Main-WaifFu,0.0377,2.84,"364,777"
Main-GirlOnGirlIsHot,0.0377,2.92,"555,156"
Main-BlackBestFriend,0.0371,2.92,"526,011"
Main-RapeIsLove,0.0371,2.88,"759,076"
Main-AllLoveIsUnrequited,0.0369,2.83,"580,265"
Main-MostCommonSuperPower,0.0369,3.04,"169,329"
Main-BigBrotherMentor,0.0367,2.94,"276,115"
Main-BeautyEqualsGoodness,0.0366,2.77,"856,357"
Main-BottleFairy,0.0366,3.00,"256,124"
Main-JustFriends,0.0365,2.92,"542,678"
Main-InnocentFanserviceGirl,0.0365,2.82,"587,387"
Main-CuteWitch,0.0365,2.99,"286,538"
