Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-ExactlyWhatItSaysOnTheTin,0.5723,2.69,"21,760,944"
Main-UpToEleven,0.3788,2.85,"4,309,234"
Main-FridgeLogic,0.3759,3.47,"266,112"
Main-BeyondTheImpossible,0.3732,3.34,"349,225"
Main-JustifiedTrope,0.3570,3.44,"241,969"
Main-HumongousMecha,0.3057,2.76,"5,125,034"
Main-MacGuffin,0.2400,2.82,"4,815,741"
Main-BadassNormal,0.2301,2.67,"5,292,879"
Main-ChekhovsGun,0.2185,3.12,"1,349,435"
Main-CurbStompBattle,0.2134,3.21,"339,381"
Main-HandWave,0.1714,2.94,"941,521"
Main-KillItWithFire,0.1650,2.73,"3,446,544"
Main-AvertedTrope,0.1612,3.36,"244,253"
Main-WhatDoYouMeanItsNotAwesome,0.1526,3.30,"318,315"
Main-MoreDakka,0.1489,2.76,"2,808,585"
Main-BFG,0.1454,2.81,"2,002,817"
Main-NintendoHard,0.1447,3.32,"303,551"
Main-CrazyAwesome,0.1436,3.27,"116,394"
Main-StuffBlowingUp,0.1425,2.80,"2,529,111"
Main-PlayerCharacter,0.1384,3.28,"157,062"
Main-MadeOfIron,0.1295,2.74,"2,152,371"
Main-FinalBoss,0.1257,3.38,"84,803"
Main-BFS,0.1244,2.78,"1,700,700"
Main-AwesomeButImpractical,0.1165,3.42,"62,693"
Main-CrazyPrepared,0.1142,2.72,"2,310,608"
Main-PlayingWithFire,0.1116,2.84,"1,204,263"
Main-WaveMotionGun,0.1107,2.84,"1,184,374"
Main-BadassGrandpa,0.1093,2.74,"1,746,002"
Main-MultipleEndings,0.1082,2.77,"2,853,301"
Main-RedShirt,0.1076,2.82,"1,317,379"
Main-OneManArmy,0.1057,2.70,"1,979,226"
Main-PoweredArmor,0.1056,2.81,"1,337,866"
Main-BonusBoss,0.1026,2.86,"982,697"
Main-UpdatedRerelease,0.1021,2.92,"970,059"
Main-VideoGameCrueltyPotential,0.1005,2.75,"2,368,413"
Main-InfinityPlusOneSword,0.0993,2.88,"987,847"
Main-InformedAbility,0.0964,2.72,"1,731,028"
Main-OneHitKill,0.0940,2.77,"1,441,731"
Main-ThereIsNoKillLikeOverkill,0.0936,2.67,"2,428,791"
Main-TrainingFromHell,0.0928,2.85,"1,155,696"
Main-SuperStrength,0.0922,2.91,"605,372"
