Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-LampshadeHanging,0.7286,3.22,"1,188,414"
Main-ShoutOut,0.7242,3.02,"5,644,827"
Main-IncrediblyLamePun,0.4543,2.89,"5,629,404"
Main-RunningGag,0.4460,2.59,"20,723,769"
Main-DeadpanSnarker,0.4071,3.24,"870,875"
Main-MeaningfulName,0.4033,3.24,"1,345,690"
Main-MemeticMutation,0.3433,3.15,"2,121,569"
Main-Cloudcuckoolander,0.3390,3.17,"1,785,934"
Main-TruthInTelevision,0.3370,2.74,"18,168,996"
Main-LargeHam,0.3087,3.16,"1,057,980"
Main-HilarityEnsues,0.2977,2.90,"5,495,329"
Main-CaptainObvious,0.2808,2.76,"5,882,599"
Main-ItMakesSenseInContext,0.2553,3.31,"163,665"
Main-SubvertedTrope,0.2501,3.12,"979,585"
Main-PlayedForLaughs,0.2187,2.96,"2,246,687"
Main-GettingCrapPastTheRadar,0.2114,3.01,"1,276,868"
Main-BlatantLies,0.1748,2.76,"4,092,102"
Main-NoodleIncident,0.1623,3.30,"231,538"
Main-DepartmentOfRedundancyDepartment,0.1408,2.90,"1,486,557"
Main-BrickJoke,0.1407,3.00,"803,361"
Main-TemptingFate,0.1390,2.64,"4,561,046"
Main-PunnyName,0.1367,2.72,"3,996,828"
Main-BigNo,0.1319,2.66,"4,253,867"
Main-InvertedTrope,0.1307,3.00,"805,524"
Main-OverlyLongGag,0.1292,2.78,"3,251,913"
Main-PrecisionFStrike,0.1268,2.69,"4,508,476"
Main-StealthPun,0.1249,2.65,"4,174,946"
Main-HypocriticalHumor,0.1238,2.71,"3,407,503"
Main-BilingualBonus,0.1193,2.89,"1,489,535"
Main-FunWithAcronyms,0.1193,3.46,"92,583"
Main-UnusualEuphemism,0.1173,2.71,"3,444,869"
Main-BigEater,0.1129,2.72,"3,477,049"
Main-InvokedTrope,0.1123,3.01,"585,541"
Main-DontExplainTheJoke,0.1113,2.86,"1,687,100"
Main-RuleOfThree,0.1112,2.82,"2,244,813"
Main-ThemeNaming,0.1057,2.91,"1,173,285"
Main-NoNameGiven,0.1038,2.75,"3,736,393"
Main-VerbalTic,0.0988,2.70,"2,424,830"
Main-DoubleEntendre,0.0977,2.75,"2,333,606"
Main-PaperThinDisguise,0.0930,2.70,"2,233,355"
Main-InsistentTerminology,0.0926,2.80,"1,653,173"
Main-BuffySpeak,0.0925,2.81,"1,519,063"
Main-Beat,0.0923,2.90,"1,443,933"
Main-SuspiciouslySpecificDenial,0.0894,2.67,"4,181,396"
Main-PlayingWithATrope,0.0844,3.10,"298,164"
Main-GratuitousEnglish,0.0834,2.89,"1,314,429"
Main-AWorldwidePunomenon,0.0817,2.96,"645,381"
Main-DoubleSubversion,0.0793,2.96,"422,023"
Main-EveryoneCallsHimBarkeep,0.0749,2.77,"1,955,493"
Main-CrossesTheLineTwice,0.0689,2.76,"1,693,748"
Main-NamesTheSame,0.0678,3.30,"212,404"
Main-LetsPlay,0.0661,2.71,"2,229,212"
Main-DumbMuscle,0.0657,2.75,"949,483"
Main-HeroicMime,0.0631,2.89,"982,179"
Main-RalphWiggum,0.0630,2.89,"668,745"
Main-SayMyName,0.0622,2.69,"1,286,893"
Main-AwesomeMcCoolname,0.0613,2.67,"2,698,709"
Main-VisualPun,0.0595,2.82,"1,326,838"
Main-LethalChef,0.0593,2.77,"1,390,336"
Main-NoIndoorVoice,0.0582,2.83,"894,385"
Main-DrillSergeantNasty,0.0570,2.83,"834,268"
Main-MyFriendsAndZoidberg,0.0567,2.89,"631,169"
Main-ComicallyMissingThePoint,0.0564,2.77,"1,342,160"
Main-ShapedLikeItself,0.0563,2.77,"1,645,393"
Main-OneSteveLimit,0.0555,2.68,"1,677,008"
Main-Facepalm,0.0551,2.84,"803,573"
Main-HurricaneOfPuns,0.0545,2.78,"1,356,580"
Main-CoolAndUnusualPunishment,0.0528,2.77,"1,036,701"
Main-ImagineSpot,0.0527,2.96,"605,563"
Main-SdrawkcabName,0.0521,2.78,"1,134,517"
Main-DudeNotFunny,0.0517,3.21,"112,744"
Main-Trope,0.0515,3.59,"233,883"
Main-OnlyKnownByTheirNickname,0.0514,2.74,"1,554,106"
Main-TrademarkFavoriteFood,0.0513,2.67,"1,949,465"
Main-MyNameIsNotDurwood,0.0508,2.73,"1,617,352"
Main-CurseCutShort,0.0507,2.70,"1,037,085"
Main-TheUnReveal,0.0502,2.78,"973,243"
Main-TheVoiceless,0.0499,2.87,"817,226"
Main-InsaneTrollLogic,0.0494,2.86,"778,552"
Main-SesquipedalianLoquaciousness,0.0492,2.80,"1,292,428"
Main-DiscussedTrope,0.0490,3.08,"164,262"
Main-TakeOurWordForIt,0.0484,2.76,"791,688"
Main-BlindIdiotTranslation,0.0482,2.75,"1,448,886"
Main-TheUnintelligible,0.0467,2.84,"1,012,997"
Main-MotorMouth,0.0463,2.74,"1,146,393"
Main-BeamMeUpScotty,0.0461,2.76,"1,393,875"
Main-BreadEggsMilkSquick,0.0451,2.81,"990,840"
Main-AerithAndBob,0.0448,2.74,"1,341,116"
Main-GoshdangItToHeck,0.0447,2.77,"980,239"
Main-NoodleImplements,0.0447,2.78,"1,105,369"
Main-CompanionCube,0.0438,2.72,"1,116,831"
Main-TranslationConvention,0.0430,2.83,"978,234"
Main-FlatWhat,0.0428,2.76,"1,049,979"
Main-TheAlcoholic,0.0426,2.93,"1,112,817"
Main-GilliganCut,0.0426,2.87,"618,840"
Main-BlandNameProduct,0.0416,2.79,"1,060,482"
Main-ThirdPersonPerson,0.0400,2.80,"593,871"
Main-MadnessMantra,0.0400,2.79,"683,619"
Main-FunnyBackgroundEvent,0.0396,2.81,"710,475"
Main-OverlyLongName,0.0394,2.81,"1,011,913"
Main-LogicBomb,0.0390,2.83,"808,788"
Main-Metaphorgotten,0.0385,2.90,"524,638"
Main-XtremeKoolLetterz,0.0380,2.85,"756,154"
Main-ParentalBonus,0.0377,2.84,"583,219"
Main-AlliterativeName,0.0377,2.83,"942,254"
Main-GeniusBonus,0.0369,2.81,"848,191"
Main-OohMeAccentsSlipping,0.0362,2.81,"815,313"
Main-UpperClassTwit,0.0360,2.97,"345,682"
Main-ZanyScheme,0.0360,2.88,"619,942"
Main-MushroomSamba,0.0359,2.87,"682,756"
Main-HelloInsertNameHere,0.0359,2.93,"439,576"
Main-ThisIsForEmphasisBitch,0.0357,3.02,"194,247"
Main-AsideGlance,0.0356,2.84,"568,042"
Main-TheAllegedCar,0.0353,2.89,"612,018"
Main-DrowningMySorrows,0.0351,2.82,"752,503"
Main-DrivesLikeCrazy,0.0350,2.83,"778,538"
Main-FunnyForeigner,0.0347,3.01,"363,374"
Main-CanadaEh,0.0346,2.91,"722,937"
Main-Malaproper,0.0343,2.88,"698,413"
Main-InsultBackfire,0.0341,2.77,"684,521"
Main-NauseaFuel,0.0341,2.80,"1,045,528"
Main-FunetikAksent,0.0340,2.87,"1,008,547"
Main-IHaveManyNames,0.0336,2.82,"581,558"
Main-GratuitousGerman,0.0335,2.83,"724,885"
Main-TheComicallySerious,0.0333,2.82,"393,065"
Main-HaveAGayOldTime,0.0332,2.79,"1,167,790"
Main-EmbarrassingFirstName,0.0329,2.87,"655,151"
Main-YouKeepUsingThatWord,0.0328,3.44,"17,024"
Main-SantaClaus,0.0326,3.15,"166,044"
Main-Understatement,0.0325,2.88,"369,020"
Main-PlayedForDrama,0.0319,3.52,"160,840"
Main-TheWatson,0.0319,2.93,"319,935"
Main-AliensSpeakingEnglish,0.0314,2.89,"477,080"
Main-RougeAnglesOfSatin,0.0314,2.82,"734,888"
Main-AttentionDeficitOohShiny,0.0313,2.87,"482,971"
Main-LostInTranslation,0.0311,2.98,"234,400"
Main-EurekaMoment,0.0311,2.93,"359,424"
Main-Hulkspeak,0.0308,2.92,"235,925"
Main-TVTropesWillRuinYourLife,0.0304,3.29,"409,071"
Main-Angrish,0.0303,2.87,"493,643"
Main-SophisticatedAsHell,0.0302,2.78,"730,116"
Main-AssShove,0.0300,2.85,"440,828"
Main-AltText,0.0298,3.19,"502,330"
Main-GratuitousJapanese,0.0297,2.89,"560,446"
Main-CreepyMonotone,0.0296,2.88,"219,189"
Main-AsLongAsItSoundsForeign,0.0292,2.82,"601,202"
Main-DressingAsTheEnemy,0.0288,2.89,"256,149"
Main-ArcNumber,0.0287,2.91,"298,508"
Main-InnocentInnuendo,0.0287,2.90,"390,430"
Main-OnlyOneName,0.0285,2.81,"423,672"
Main-UnsoundEffect,0.0283,2.82,"736,960"
Main-YeOldeButcheredeEnglishe,0.0282,2.90,"352,580"
Main-AccidentalInnuendo,0.0280,2.79,"606,400"
Main-PointyHairedBoss,0.0279,3.08,"181,916"
Main-StealthHiBye,0.0275,2.84,"321,801"
