Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-MadScientist,0.3480,2.67,"8,279,495"
Main-NightmareFuel,0.3379,3.20,"809,143"
Main-HighOctaneNightmareFuel,0.3308,3.03,"2,885,444"
Main-AllThereInTheManual,0.3268,2.65,"11,984,272"
Main-MonsterOfTheWeek,0.1970,2.87,"1,832,285"
Main-BodyHorror,0.1961,3.22,"450,323"
Main-AppliedPhlebotinum,0.1931,3.00,"3,437,551"
Main-PsychicPowers,0.1668,2.77,"2,683,093"
Main-OurVampiresAreDifferent,0.1625,3.06,"1,030,554"
Main-PhysicalGod,0.1567,2.82,"1,460,375"
Main-OneWingedAngel,0.1561,2.69,"2,896,887"
Main-ExpandedUniverse,0.1512,2.90,"1,311,543"
Main-EyeScream,0.1427,3.28,"172,455"
Main-HalfHumanHybrid,0.1395,2.77,"2,291,219"
Main-RealityWarper,0.1291,2.77,"1,945,460"
Main-ZombieApocalypse,0.1283,2.77,"3,173,523"
Main-AfterTheEnd,0.1269,2.77,"4,445,133"
Main-ImAHumanitarian,0.1226,2.70,"3,100,823"
Main-TheVirus,0.1213,2.85,"1,219,255"
Main-SuperSoldier,0.1189,2.82,"1,027,194"
Main-AIIsACrapshoot,0.1173,2.72,"2,761,085"
Main-DarkIsNotEvil,0.1136,3.21,"179,141"
Main-LaserGuidedAmnesia,0.1062,2.79,"1,726,454"
Main-TheFairFolk,0.1045,2.80,"2,149,594"
Main-CloningBlues,0.1021,2.77,"1,519,958"
Main-WhatMeasureIsANonHuman,0.1010,3.05,"982,380"
Main-PlanetOfHats,0.1002,2.82,"1,287,036"
Main-DemonicPossession,0.0975,2.84,"1,211,784"
Main-WithGreatPowerComesGreatInsanity,0.0952,2.78,"989,229"
Main-HealingFactor,0.0922,2.84,"1,067,643"
Main-AWizardDidIt,0.0918,2.89,"726,893"
Main-GrandTheftMe,0.0916,2.83,"963,274"
Main-RedEyesTakeWarning,0.0863,2.67,"2,163,022"
Main-ArtificialHuman,0.0836,2.93,"629,960"
Main-VoluntaryShapeshifting,0.0824,2.83,"1,202,084"
Main-GadgeteerGenius,0.0801,2.78,"1,196,452"
Main-CursedWithAwesome,0.0800,2.75,"1,552,972"
Main-Magitek,0.0800,2.85,"977,845"
Main-TalkingAnimal,0.0758,2.95,"1,095,577"
Main-AnthropomorphicPersonification,0.0744,2.77,"1,621,617"
Main-TakenForGranite,0.0743,2.80,"1,166,746"
Main-Dracula,0.0741,2.94,"932,892"
Main-FunctionalMagic,0.0738,2.88,"819,881"
Main-HiveMind,0.0735,2.77,"1,587,658"
Main-TechnoBabble,0.0734,2.85,"884,368"
Main-KillerRabbit,0.0732,2.70,"1,788,863"
Main-GoMadFromTheRevelation,0.0722,2.81,"864,116"
Main-OurWerewolvesAreDifferent,0.0719,2.81,"1,858,514"
Main-AscendToAHigherPlaneOfExistence,0.0716,2.86,"738,274"
Main-FunnyAnimal,0.0710,2.99,"1,127,518"
Main-TeamPet,0.0708,2.92,"614,171"
Main-WhatKindOfLamePowerIsHeartAnyway,0.0691,2.78,"990,126"
Main-TheGrimReaper,0.0687,2.83,"1,031,759"
Main-OurElvesAreBetter,0.0662,2.78,"1,244,923"
Main-MundaneUtility,0.0661,2.68,"1,536,320"
Main-GoneHorriblyWrong,0.0658,2.87,"548,980"
