,run,average_10,gen
0,0,6.956,fem
1,1,6.324,fem
2,2,6.744999999999999,fem
3,3,6.590999999999999,fem
4,4,6.507000000000001,fem
5,5,6.586,fem
6,6,6.606,fem
7,7,6.325,fem
8,8,6.9159999999999995,fem
9,9,6.431,fem
10,10,6.519,fem
11,11,6.587999999999999,fem
12,12,6.33,fem
13,13,6.491999999999999,fem
14,14,6.518000000000001,fem
15,15,6.449000000000001,fem
16,16,6.898000000000001,fem
17,17,6.633,fem
18,18,6.629,fem
19,19,6.396,fem
20,20,6.733,fem
21,21,6.549000000000001,fem
22,22,6.324,fem
23,23,6.411,fem
24,24,6.475999999999999,fem
25,25,6.188999999999999,fem
26,26,6.720999999999999,fem
27,27,6.694000000000001,fem
28,28,7.033000000000001,fem
29,29,6.779999999999999,fem
30,30,6.385,fem
31,31,6.258,fem
32,32,6.873,fem
33,33,6.941,fem
34,34,6.4319999999999995,fem
35,35,6.476000000000001,fem
36,36,6.447,fem
37,37,6.590999999999999,fem
38,38,6.761,fem
39,39,6.723999999999999,fem
40,40,6.888,fem
41,41,6.9799999999999995,fem
42,42,6.665000000000001,fem
43,43,6.648000000000001,fem
44,44,6.328,fem
45,45,6.386000000000001,fem
46,46,6.989,fem
47,47,7.116,fem
48,48,6.808,fem
49,49,6.398,fem
50,50,6.678,fem
51,51,6.360999999999999,fem
52,52,6.958000000000001,fem
53,53,6.709999999999999,fem
54,54,6.237,fem
55,55,6.742,fem
56,56,6.12,fem
57,57,6.938,fem
58,58,6.653999999999999,fem
59,59,7.0280000000000005,fem
60,60,5.995,fem
61,61,6.45,fem
62,62,6.769,fem
63,63,6.696000000000001,fem
64,64,6.339,fem
65,65,6.252,fem
66,66,6.529999999999999,fem
67,67,6.92,fem
68,68,6.764,fem
69,69,6.839,fem
70,70,6.077,fem
71,71,6.659999999999999,fem
72,72,6.525,fem
73,73,6.755,fem
74,74,6.589,fem
75,75,6.622,fem
76,76,6.67,fem
77,77,6.452000000000001,fem
78,78,6.553999999999999,fem
79,79,6.707000000000001,fem
80,80,6.289,fem
81,81,6.630000000000001,fem
82,82,6.953,fem
83,83,6.705999999999999,fem
84,84,6.5040000000000004,fem
85,85,6.743,fem
86,86,6.481,fem
87,87,6.204,fem
88,88,6.919,fem
89,89,6.989,fem
90,90,6.483,fem
91,91,6.847999999999999,fem
92,92,5.9190000000000005,fem
93,93,6.900000000000001,fem
94,94,6.594000000000001,fem
95,95,6.83,fem
96,96,6.902000000000001,fem
97,97,6.872,fem
98,98,6.742,fem
99,99,6.618,fem
100,100,6.970999999999999,fem
101,101,6.675,fem
102,102,6.62,fem
103,103,6.767,fem
104,104,6.3660000000000005,fem
105,105,6.456999999999999,fem
106,106,6.684,fem
107,107,6.804,fem
108,108,6.744,fem
109,109,7.028999999999999,fem
110,110,6.669999999999999,fem
111,111,6.703,fem
112,112,7.082000000000001,fem
113,113,6.590000000000001,fem
114,114,6.9990000000000006,fem
115,115,7.059,fem
116,116,6.584999999999999,fem
117,117,7.078,fem
118,118,6.868,fem
119,119,6.935,fem
120,120,6.676,fem
121,121,6.433,fem
122,122,6.953,fem
123,123,6.2780000000000005,fem
124,124,6.911,fem
125,125,6.812,fem
126,126,6.417,fem
127,127,6.135000000000001,fem
128,128,6.667,fem
129,129,6.378,fem
130,130,6.897999999999999,fem
131,131,6.552000000000001,fem
132,132,6.2219999999999995,fem
133,133,6.300999999999999,fem
134,134,6.401999999999999,fem
135,135,6.720000000000001,fem
136,136,6.774000000000001,fem
137,137,6.57,fem
138,138,6.800999999999999,fem
139,139,6.813,fem
140,140,6.748,fem
141,141,6.706,fem
142,142,6.998,fem
143,143,6.306,fem
144,144,7.06,fem
145,145,6.93,fem
146,146,6.593000000000001,fem
147,147,6.5760000000000005,fem
148,148,6.405999999999999,fem
149,149,6.581,fem
150,150,6.511,fem
151,151,6.537999999999999,fem
152,152,6.291,fem
153,153,6.516,fem
154,154,6.317,fem
155,155,6.416000000000001,fem
156,156,6.522,fem
157,157,6.57,fem
158,158,6.9079999999999995,fem
159,159,6.481,fem
160,160,6.803,fem
161,161,6.577,fem
162,162,6.797999999999999,fem
163,163,6.881,fem
164,164,6.928999999999999,fem
165,165,6.419,fem
166,166,6.968000000000001,fem
167,167,6.840000000000001,fem
168,168,6.513,fem
169,169,6.297,fem
170,170,6.626,fem
171,171,6.357,fem
172,172,6.1720000000000015,fem
173,173,6.452,fem
174,174,6.884,fem
175,175,6.524000000000001,fem
176,176,6.997999999999999,fem
177,177,6.7989999999999995,fem
178,178,6.706999999999999,fem
179,179,6.495,fem
180,180,7.168000000000001,fem
181,181,6.6450000000000005,fem
182,182,6.558,fem
183,183,6.039,fem
184,184,6.684,fem
185,185,7.162999999999999,fem
186,186,6.69,fem
187,187,6.742999999999999,fem
188,188,6.531000000000001,fem
189,189,6.446,fem
190,190,6.316,fem
191,191,6.589999999999999,fem
192,192,6.515000000000001,fem
193,193,6.614999999999999,fem
194,194,6.95,fem
195,195,6.2170000000000005,fem
196,196,6.209,fem
197,197,6.536,fem
198,198,6.647,fem
199,199,7.008000000000001,fem
200,200,6.140000000000001,fem
201,201,6.75,fem
