,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,normed mean happiness,gender category
QuicklyDemotedWoman,"['Quickly', 'Demoted', 'Woman']",['woman'],[6.84],"['quickly', 'demoted']",,[1],happy,"['AdverblyAdjectiveNoun', 'AlwaysFemale', 'CharactersAsDevice', 'DoubleStandard', 'ForgotAboutHisPowers', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'MenAreTough', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.84,female
WetBlanketWife,"['Wet', 'Blanket', 'Wife']","['blanket', 'wife']","[6.54, 6.62]",['wet'],,"[1, 1]",happy,"['AcceptableFeminineGoalsAndTraits', 'AlwaysFemale', 'CharactersAsDevice', 'ClingyJealousGirl', 'CloserToEarth', 'GenderAndSexualityTropes', 'LoveInterests', 'MarriageTropes', 'MenAreTough', 'TheOnlyRighteousIndexOfFanatics', 'StockCharacters', 'TropesInAggregate', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.58,female
RookieMaleExperiencedFemale,"['Rookie', 'Male', 'Experienced', 'Female']","['experienced', 'female']","[6.82, 6.88]","['rookie', 'male']",TopicalTropes,"[1, 2]",happy,"['DuoTropes', 'MenAreTough', 'WomenAreDelicate']",['TopicalTropes'],6.85,
HairyGirl,"['Hairy', 'Girl']",['girl'],[7.0],['hairy'],TopicalTropes,[2],happy,"['AlwaysFemale', 'ExpositoryHairstyles', 'HairTropes', 'WomenAreDelicate']",['TopicalTropes'],7.0,female
NeutralFemale,"['Neutral', 'Female']",['female'],[6.88],['neutral'],,[2],happy,"['ActionAdventureTropes', 'AlwaysFemale', 'CharacterExaggeration', 'ContrivedStupidityTropes', 'DirtyCoward', 'DistaffCounterpart', 'DoubleStandard', 'GenderDynamicsIndex', 'MenActWomenAre', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes']",6.88,female
ConMan,"['Con', 'Man']",['con'],[3.7],['man'],,[-2],not happy,"['AllJustADream', 'BecomingTheMask', 'CharacterizationMarchesOn', 'Characters', 'ChristmasEpisode', 'TheCon', 'CrimeAndPunishmentTropes', 'CriminalProcedural', 'Criminals', 'CuttingTheKnot', 'DirtySocialTricks', 'Empowerment', 'EvenEvilHasStandards', 'TheFace', 'FilmNoirIndex', 'ForTheEvulz', 'GambitIndex', 'GenderBender', 'TheGreatDepression', 'IKnowYourTrueName', 'LotusEaterMachine', 'ManipulativeBastard', 'NarrativeTropes', 'OccupationTropes', 'OvershadowedByControversy', 'ThePlan', 'Plots', 'PsychologicalProjection', 'SadlyMythtaken', 'ScienceFictionWebOriginals', 'SelfishnessTropes', 'Settings', 'ShortCon', 'SocialEngineering', 'StockCharacters', 'StockGods', 'TheTale', 'ThanatosGambit', 'ThisIndexIsNotAnExample', 'TooGoodToBeTrue', 'TheTrickster', 'TruthAndLies', 'UnderestimatingBadassery', 'UnisexTropes', 'WalkingSpoiler', 'WebVideoSeries', 'YouAreBetterThanYouThinkYouAre']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",3.7,male
MagicalGirlWarrior,"['Magical', 'Girl', 'Warrior']","['magical', 'girl']","[7.38, 7.0]",['warrior'],,"[2, 2]",happy,"['ActionGirl', 'AlwaysFemale', 'BigBad', 'Capepunk', 'ClarkKenting', 'DeadGuyJunior', 'DecoyProtagonist', 'DemonicPossession', 'ExactlyWhatItSaysOnTheTin', 'FantasyWebcomics', 'GeniusBruiser', 'GenreKiller', 'GenreShift', 'GenreTurningPoint', 'IJustWantToBeNormal', 'IdolGenre', 'MagicAndPowers', 'MagicKnight', 'MagicalGirlTropes', 'MasculineGirlFeminineBoy', 'NiceJobFixingItVillain', 'PopularityPolynomial', 'RationalFic', 'Reconstruction', 'RefittedForSequel', 'SchoolClubStories', 'SecretIdentity', 'Sequelitis', 'ShonenDemographic', 'ShoujoDemographic', 'SquarePegRoundTrope', 'StockJapaneseCharacters', 'Summer2013Anime', 'Superhero', 'SuperheroTropes', 'ThatOneSidequest', 'TransformationSequence', 'WebSerialNovel', 'WomenAreDelicate', 'WorstNewsJudgmentEver']","['GenreTropes', 'TopicalTropes']",7.19,female
ManicPixieDreamGirl,"['Manic', 'Pixie', 'Dream', 'Girl']","['dream', 'girl']","[7.1, 7.0]","['manic', 'pixie']",,"[2, 2]",happy,"['AlwaysFemale', 'Analysis', 'BettyAndVeronica', 'BunnyEarsLawyer', 'CharacterAlignment', 'CharactersAsDevice', 'CloserToEarth', 'Cloudcuckoolander', 'ComingOfAgeStory', 'CrapsaccharineWorld', 'CreatorBacklash', 'DeconstructedCharacterArchetype', 'DeconstructedTrope', 'Deconstruction', 'DeconstructionFic', 'ExampleAsAThesis', 'ExtraversionTropes', 'Fall2014Anime', 'GenderDynamicsIndex', 'HaremGenre', 'HarmonyVersusDiscipline', 'Herald', 'HomoeroticSubtext', 'InsultBackfire', 'LikeAnOldMarriedCouple', 'LivingEmotionalCrutch', 'LoveInterests', 'LoveTropes', 'MagicalMinorityPerson', 'MenAreTough', 'MermaidMedia', 'Moe', 'MysteriousWoman', 'QueerRomance', 'RomanticComedy', 'SarcasticConfession', 'ScrewballComedy', 'ShrinkingViolet', 'StoicWoobie', 'SwordFight', 'UnbuiltTrope', 'WomanlinessAsPathos', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.05,female
TricksterGirlfriend,"['Trickster', 'Girlfriend']",['girlfriend'],[7.04],['trickster'],,[2],happy,"['AlwaysFemale', 'LoveInterests', 'TheTrickster']",[],7.04,female
TalentedPrincessRegularGuy,"['Talented', 'Princess', 'Regular', 'Guy']","['talented', 'princess']","[7.06, 7.08]","['regular', 'guy']",,"[2, 2]",happy,"['LoveTropes', 'MenAreTough', 'WomenAreDelicate']","['GenreTropes', 'TopicalTropes']",7.07,
