,run,average_10,gen
0,0,5.737,mal
1,1,4.986,mal
2,2,5.4030000000000005,mal
3,3,4.9270000000000005,mal
4,4,5.956000000000001,mal
5,5,6.238000000000001,mal
6,6,5.916,mal
7,7,4.863,mal
8,8,4.8660000000000005,mal
9,9,4.545,mal
10,10,5.709,mal
11,11,5.319000000000001,mal
12,12,5.1690000000000005,mal
13,13,5.508999999999999,mal
14,14,4.869,mal
15,15,6.462000000000001,mal
16,16,5.649,mal
17,17,5.928,mal
18,18,5.136,mal
19,19,5.387,mal
20,20,5.424999999999999,mal
21,21,5.327,mal
22,22,5.418,mal
23,23,6.008,mal
24,24,5.513,mal
25,25,6.014000000000001,mal
26,26,5.787,mal
27,27,5.695000000000001,mal
28,28,5.232999999999999,mal
29,29,4.904,mal
30,30,4.8469999999999995,mal
31,31,6.136,mal
32,32,5.703000000000001,mal
33,33,5.1,mal
34,34,4.979,mal
35,35,5.46,mal
36,36,4.892,mal
37,37,5.509,mal
38,38,6.0840000000000005,mal
39,39,6.239,mal
40,40,4.452,mal
41,41,5.962000000000001,mal
42,42,4.9670000000000005,mal
43,43,5.045,mal
44,44,5.208,mal
45,45,6.6659999999999995,mal
46,46,6.022,mal
47,47,4.597,mal
48,48,5.577,mal
49,49,6.223000000000001,mal
50,50,5.887,mal
51,51,5.5760000000000005,mal
52,52,4.961,mal
53,53,5.242,mal
54,54,5.430000000000001,mal
55,55,5.565,mal
56,56,5.83,mal
57,57,6.294999999999999,mal
58,58,5.952000000000001,mal
59,59,6.428,mal
60,60,5.642999999999999,mal
61,61,5.021,mal
62,62,5.6979999999999995,mal
63,63,6.778999999999999,mal
64,64,5.7410000000000005,mal
65,65,6.143,mal
66,66,5.566,mal
67,67,5.241999999999999,mal
68,68,6.477000000000001,mal
69,69,4.8469999999999995,mal
70,70,5.572,mal
71,71,6.345,mal
72,72,5.113,mal
73,73,5.993,mal
74,74,5.123,mal
75,75,5.326,mal
76,76,5.278,mal
77,77,5.828,mal
78,78,5.8100000000000005,mal
79,79,6.125,mal
80,80,3.9259999999999997,mal
81,81,6.071,mal
82,82,6.311000000000001,mal
83,83,5.0809999999999995,mal
84,84,3.8890000000000002,mal
85,85,6.133,mal
86,86,5.223999999999999,mal
87,87,6.004,mal
88,88,6.13,mal
89,89,5.7700000000000005,mal
90,90,5.928,mal
91,91,6.1080000000000005,mal
92,92,6.164,mal
93,93,6.489,mal
94,94,5.09,mal
95,95,5.85,mal
96,96,6.458,mal
97,97,5.686999999999999,mal
98,98,5.635,mal
99,99,5.087000000000001,mal
100,100,4.002,mal
101,101,5.196,mal
102,102,5.701,mal
103,103,5.776,mal
104,104,5.405000000000001,mal
105,105,4.523999999999999,mal
106,106,5.840999999999999,mal
107,107,5.244000000000001,mal
108,108,6.271,mal
109,109,5.465,mal
110,110,6.037,mal
111,111,6.079,mal
112,112,5.525,mal
113,113,5.52,mal
114,114,5.152,mal
115,115,5.763999999999999,mal
116,116,5.442,mal
117,117,6.297,mal
118,118,5.99,mal
119,119,6.366999999999999,mal
120,120,6.061000000000001,mal
121,121,5.31,mal
122,122,6.008,mal
123,123,5.817,mal
124,124,5.557,mal
125,125,5.539000000000001,mal
126,126,6.003,mal
127,127,5.275,mal
128,128,5.201,mal
129,129,5.367,mal
130,130,5.389,mal
131,131,5.055,mal
132,132,6.151,mal
133,133,5.51,mal
134,134,5.1240000000000006,mal
135,135,4.96,mal
136,136,5.581,mal
137,137,5.3180000000000005,mal
138,138,5.973,mal
139,139,6.188000000000001,mal
140,140,5.811,mal
141,141,4.724,mal
142,142,4.486,mal
143,143,5.901,mal
144,144,5.906000000000001,mal
145,145,6.202,mal
146,146,4.543,mal
147,147,4.712,mal
148,148,6.2780000000000005,mal
149,149,5.812,mal
150,150,3.8519999999999994,mal
151,151,5.7829999999999995,mal
152,152,5.449,mal
153,153,5.504,mal
154,154,5.339,mal
155,155,6.202,mal
156,156,4.512,mal
157,157,5.423,mal
158,158,4.496,mal
159,159,4.540000000000001,mal
160,160,5.604,mal
161,161,6.048,mal
162,162,5.556,mal
163,163,5.88,mal
164,164,5.968999999999999,mal
165,165,5.054,mal
166,166,6.4430000000000005,mal
167,167,6.08,mal
168,168,5.338,mal
169,169,6.253,mal
170,170,5.478,mal
171,171,5.015,mal
172,172,6.2459999999999996,mal
173,173,5.981000000000001,mal
174,174,4.764,mal
175,175,6.2490000000000006,mal
176,176,5.76,mal
177,177,6.364,mal
178,178,5.83,mal
179,179,5.513,mal
180,180,5.015,mal
181,181,5.029999999999999,mal
182,182,6.233,mal
183,183,5.5969999999999995,mal
184,184,5.281,mal
185,185,5.515999999999999,mal
186,186,5.584,mal
187,187,5.568,mal
188,188,5.154999999999999,mal
189,189,5.928,mal
190,190,5.813000000000001,mal
191,191,5.688000000000001,mal
192,192,5.07,mal
193,193,6.232,mal
194,194,5.481999999999999,mal
195,195,6.223999999999998,mal
196,196,5.787999999999999,mal
197,197,5.092999999999999,mal
198,198,5.531,mal
199,199,4.839,mal
200,200,4.632,mal
201,201,5.803,mal
202,202,5.601000000000001,mal
203,203,6.5009999999999994,mal
204,204,5.307,mal
205,205,6.711,mal
206,206,5.414000000000001,mal
207,207,6.219,mal
208,208,5.136,mal
209,209,5.274,mal
210,210,6.0680000000000005,mal
211,211,5.518000000000001,mal
212,212,5.337999999999999,mal
213,213,5.433,mal
214,214,5.699,mal
215,215,5.337999999999999,mal
216,216,5.445,mal
217,217,5.324000000000001,mal
218,218,6.252999999999999,mal
219,219,5.829000000000001,mal
220,220,6.266,mal
221,221,5.816000000000001,mal
222,222,5.865,mal
223,223,6.234,mal
224,224,6.255,mal
225,225,5.776,mal
226,226,5.515000000000001,mal
227,227,4.587,mal
228,228,5.781000000000001,mal
229,229,5.625,mal
230,230,5.319000000000001,mal
231,231,5.804,mal
232,232,5.196,mal
233,233,6.002000000000001,mal
234,234,5.707,mal
235,235,5.234,mal
236,236,5.340000000000001,mal
237,237,5.7330000000000005,mal
238,238,5.296000000000001,mal
239,239,5.839,mal
240,240,5.3580000000000005,mal
241,241,5.391,mal
242,242,5.9990000000000006,mal
243,243,6.112,mal
244,244,6.311999999999999,mal
245,245,5.561000000000001,mal
246,246,5.522999999999999,mal
247,247,5.423,mal
248,248,4.3950000000000005,mal
249,249,5.882,mal
250,250,5.876,mal
251,251,5.9399999999999995,mal
252,252,5.005000000000001,mal
253,253,4.833,mal
254,254,6.173,mal
255,255,6.795,mal
256,256,5.607,mal
257,257,5.223000000000001,mal
258,258,5.7700000000000005,mal
259,259,6.045999999999999,mal
260,260,5.392999999999999,mal
261,261,6.811,mal
262,262,6.14,mal
263,263,5.845000000000001,mal
264,264,5.712000000000001,mal
265,265,5.773000000000001,mal
266,266,6.186999999999999,mal
267,267,5.941000000000001,mal
268,268,5.862,mal
269,269,5.452,mal
270,270,5.209,mal
271,271,5.862,mal
272,272,4.881,mal
273,273,6.390000000000001,mal
274,274,6.622,mal
275,275,5.613,mal
276,276,6.6530000000000005,mal
277,277,4.511,mal
278,278,5.012,mal
279,279,6.531999999999999,mal
280,280,6.116000000000001,mal
281,281,5.195,mal
282,282,6.3229999999999995,mal
283,283,4.883000000000001,mal
284,284,6.119,mal
285,285,5.965999999999999,mal
286,286,5.069,mal
287,287,5.852,mal
288,288,5.949,mal
289,289,5.435,mal
290,290,6.04,mal
291,291,6.057,mal
292,292,6.3420000000000005,mal
293,293,4.769,mal
294,294,5.215999999999999,mal
295,295,4.333,mal
296,296,6.107,mal
297,297,5.837000000000001,mal
298,298,6.331,mal
299,299,6.254,mal
300,300,4.811,mal
301,301,4.536,mal
302,302,5.095000000000001,mal
303,303,4.692,mal
304,304,6.16,mal
305,305,6.23,mal
306,306,5.428,mal
307,307,5.074,mal
308,308,5.426,mal
309,309,5.401000000000001,mal
310,310,5.846,mal
311,311,6.055,mal
312,312,6.037000000000001,mal
313,313,6.5489999999999995,mal
314,314,5.5,mal
315,315,5.318,mal
316,316,6.389,mal
317,317,6.144,mal
318,318,5.0729999999999995,mal
319,319,6.339,mal
320,320,4.967,mal
321,321,4.761,mal
322,322,5.941000000000001,mal
323,323,5.8839999999999995,mal
324,324,6.035000000000001,mal
325,325,6.176,mal
326,326,6.412000000000001,mal
327,327,6.721000000000001,mal
328,328,5.181,mal
329,329,5.869,mal
330,330,5.152,mal
331,331,4.664,mal
332,332,6.014,mal
333,333,4.841,mal
334,334,5.762,mal
335,335,5.731000000000001,mal
336,336,6.317,mal
337,337,6.813999999999998,mal
338,338,4.066000000000001,mal
339,339,5.207000000000001,mal
340,340,5.807,mal
341,341,7.01,mal
342,342,6.109,mal
343,343,4.567000000000001,mal
344,344,5.7669999999999995,mal
345,345,5.926,mal
346,346,4.7620000000000005,mal
347,347,6.728,mal
348,348,5.646,mal
349,349,4.79,mal
350,350,6.625,mal
351,351,5.133000000000001,mal
352,352,4.1370000000000005,mal
353,353,4.734,mal
354,354,4.961999999999999,mal
355,355,5.633,mal
356,356,5.631,mal
357,357,4.693,mal
358,358,6.4670000000000005,mal
359,359,6.315,mal
360,360,6.127,mal
361,361,6.287,mal
362,362,5.5889999999999995,mal
363,363,5.928,mal
364,364,5.083,mal
365,365,6.124999999999999,mal
366,366,5.856,mal
367,367,6.617,mal
368,368,6.223000000000001,mal
369,369,5.247999999999999,mal
370,370,5.723999999999999,mal
371,371,5.399,mal
372,372,5.348,mal
373,373,6.027,mal
374,374,5.726,mal
375,375,5.362,mal
376,376,5.334,mal
377,377,4.956,mal
378,378,5.712,mal
379,379,6.3420000000000005,mal
380,380,5.038,mal
381,381,5.5969999999999995,mal
382,382,4.461,mal
383,383,6.0040000000000004,mal
384,384,5.205,mal
385,385,6.043,mal
386,386,6.089,mal
387,387,6.4799999999999995,mal
388,388,6.16,mal
389,389,5.571,mal
390,390,5.921,mal
391,391,5.4079999999999995,mal
392,392,5.897,mal
393,393,6.039,mal
394,394,5.45,mal
395,395,5.513000000000001,mal
396,396,5.924,mal
397,397,5.311,mal
398,398,4.412000000000001,mal
399,399,6.635000000000001,mal
400,400,5.99,mal
401,401,5.768,mal
402,402,5.348000000000001,mal
403,403,5.663,mal
404,404,5.986,mal
405,405,5.430999999999999,mal
406,406,5.792,mal
407,407,5.572,mal
408,408,6.571000000000001,mal
409,409,5.513999999999999,mal
410,410,5.311,mal
411,411,5.093999999999999,mal
412,412,5.911,mal
413,413,5.537999999999999,mal
414,414,5.837,mal
415,415,5.6979999999999995,mal
416,416,5.496,mal
417,417,6.6530000000000005,mal
418,418,4.124,mal
419,419,6.098,mal
420,420,6.023,mal
421,421,6.6290000000000004,mal
422,422,6.101999999999999,mal
423,423,6.205,mal
424,424,4.858,mal
425,425,4.949000000000001,mal
426,426,4.003,mal
427,427,6.817,mal
428,428,6.189000000000001,mal
429,429,5.641,mal
430,430,5.079000000000001,mal
431,431,4.862,mal
432,432,5.731,mal
433,433,6.131,mal
434,434,5.723999999999999,mal
435,435,5.265000000000001,mal
436,436,5.055000000000001,mal
437,437,5.613,mal
438,438,6.8100000000000005,mal
439,439,5.9079999999999995,mal
440,440,5.133000000000001,mal
441,441,5.502000000000001,mal
442,442,6.273000000000001,mal
443,443,5.912999999999999,mal
444,444,5.828,mal
445,445,5.987,mal
446,446,5.368,mal
447,447,5.564,mal
448,448,4.6690000000000005,mal
449,449,5.835,mal
450,450,6.322000000000001,mal
451,451,4.9959999999999996,mal
452,452,6.279999999999999,mal
453,453,5.425,mal
454,454,5.257000000000001,mal
455,455,5.590000000000001,mal
456,456,4.891,mal
457,457,6.088,mal
458,458,5.368,mal
459,459,6.063000000000001,mal
460,460,6.122999999999999,mal
461,461,6.683,mal
462,462,5.0840000000000005,mal
463,463,5.961,mal
464,464,5.695,mal
465,465,5.843,mal
466,466,4.723,mal
467,467,5.421,mal
468,468,6.558,mal
469,469,5.513,mal
470,470,4.913,mal
471,471,5.51,mal
472,472,5.397,mal
473,473,5.809,mal
474,474,5.672,mal
475,475,5.406000000000001,mal
476,476,5.736,mal
477,477,6.2010000000000005,mal
478,478,4.517000000000001,mal
479,479,6.986999999999999,mal
480,480,5.49,mal
481,481,6.366,mal
482,482,6.34,mal
483,483,6.314000000000001,mal
484,484,5.097,mal
485,485,5.941,mal
486,486,6.794,mal
487,487,5.726,mal
488,488,4.892,mal
489,489,5.069000000000001,mal
490,490,5.91,mal
491,491,5.51,mal
492,492,5.17,mal
493,493,4.872000000000001,mal
494,494,5.250000000000001,mal
495,495,5.427,mal
496,496,5.113999999999999,mal
497,497,5.0729999999999995,mal
498,498,5.364,mal
499,499,5.343,mal
500,500,4.832,mal
501,501,5.671,mal
502,502,5.484000000000001,mal
503,503,5.4350000000000005,mal
504,504,5.243,mal
505,505,4.867000000000001,mal
506,506,5.325,mal
507,507,6.089,mal
508,508,6.437,mal
509,509,5.710000000000001,mal
510,510,4.902,mal
511,511,6.584999999999999,mal
512,512,5.453999999999999,mal
513,513,6.412999999999999,mal
514,514,5.168000000000001,mal
515,515,5.968,mal
516,516,5.76,mal
