,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,mean happiness
HeelFaceRevolvingDoor,"['Heel', 'Face', 'Revolving', 'Door']",[],[],"['heel', 'face', 'revolving', 'door']",TopicalTropes,[],,"['AdaptationalJerkass', 'AdaptationalVillainy', 'AesopAmnesia', 'AntiHero', 'AntiVillain', 'BetrayalTropes', 'BigScrewedUpFamily', 'CharClone', 'ComicBookMoviesDontUseCodenames', 'DarkIsNotEvil', 'DoorTropes', 'EnemyMine', 'EsotericHappyEnding', 'EvilIsSexy', 'TheFace', 'FaceHeelTurn', 'FallenHero', 'FranchiseKiller', 'TheFriendNobodyLikes', 'HappyEndingOverride', 'HeWhoFightsMonsters', 'HeelFaceIndex', 'HeelFaceTurn', 'HeterosexualLifePartners', 'HumanSacrifice', 'ItsPersonal', 'LoveRedeems', 'MemeticMolester', 'MoralDilemma', 'NinetiesAntiHero', 'NobleDemon', 'NominalHero', 'OverdosedTropes', 'OverlyLongGag', 'RagtagBunchOfMisfits', 'ReformedButNotTamed', 'SignificantWardrobeShift', 'TheyWastedAPerfectlyGoodCharacter', 'UndeadHorseTrope', 'VillainProtagonist', 'WalkingSpoiler', 'YourPrincessIsInAnotherCastle']",['TopicalTropes'],
AxeBeforeEntering,"['Axe', 'Before', 'Entering']",[],[],"['axe', 'before', 'entering']",TopicalTropes,[],,"['AxCrazy', 'DoorTropes', 'JustForPun', 'TheNewestOnesInTheBook', 'OlderThanTelevision', 'ToolTropes']",['TopicalTropes'],
BatteringRam,"['Battering', 'Ram']",[],[],"['battering', 'ram']",,[],,"['CombatTropes', 'DoorTropes', 'GlassCannon', 'MilitaryAndWarfareTropes', 'NiceJobFixingItVillain', 'ScrewThisIndexIHaveTropes', 'Spectacle', 'ThisIndexHitsForMassiveDamage', 'WeaponsAndWieldingTropes']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",
BigDoor,"['Big', 'Door']",[],[],"['big', 'door']",TopicalTropes,[],,['DoorTropes'],['TopicalTropes'],
BucketBoobyTrap,"['Bucket', 'Booby', 'Trap']",['trap'],[3.44],"['bucket', 'booby']",,[-2],not happy,"['ComedyTropes', 'DeathCourse', 'DoorTropes', 'PracticalJoke']","['GenreTropes', 'TopicalTropes']",3.44
ClosedDoorRapport,"['Closed', 'Door', 'Rapport']",['closed'],[3.66],"['door', 'rapport']",,[-2],not happy,"['Dialogue', 'DoorTropes', 'RomanceArc', 'SublimeRhyme']","['NarrativeTropes', 'TopicalTropes']",3.66
DangerousKeyFumble,"['Dangerous', 'Key', 'Fumble']",['dangerous'],[2.44],"['key', 'fumble']",,[-3],not happy,"['DoorTropes', 'HorrorTropes', 'IndexFailure', 'MotorVehicleTropes', 'SurvivalHorror']","['GenreTropes', 'TopicalTropes']",2.44
DingDongDitchDistraction,"['Ding', 'Dong', 'Ditch', 'Distraction']",[],[],"['ding', 'dong', 'ditch', 'distraction']",,[],,"['ComedyTropes', 'DoorTropes', 'PracticalJoke', 'WeNeedADistraction']","['GenreTropes', 'TopicalTropes']",
DoomDoors,"['Doom', 'Doors']",['doom'],[3.12],['doors'],,[-3],not happy,"['DoomyDoomsOfDoom', 'DoorTropes', 'SoundFXTropes']","['MediaTropes', 'NarrativeTropes', 'TopicalTropes']",3.12
DoorClosesEnding,"['Door', 'Closes', 'Ending']",['ending'],[4.02],"['door', 'closes']",TopicalTropes,[-2],not happy,"['DoorTropes', 'EndingTropes', 'OlderThanRadio']",['TopicalTropes'],4.02
DoorDumb,"['Door', 'Dumb']",['dumb'],[3.06],['door'],TopicalTropes,[-3],not happy,"['DoorTropes', 'ThisIndexIsAJoke']",['TopicalTropes'],3.06
DoorFocus,"['Door', 'Focus']",[],[],"['door', 'focus']",,[],,"['ComedyTropes', 'DoorTropes', 'ThisIndexHasLeftTheBuilding']","['GenreTropes', 'TopicalTropes']",
DoorFu,"['Door', 'Fu']",[],[],"['door', 'fu']",TopicalTropes,[],,"['DoorTropes', 'FooFu', 'ImprovisedIndex', 'WeaponsAndWieldingTropes']",['TopicalTropes'],
DoorHandleScare,"['Door', 'Handle', 'Scare']",['scare'],[3.04],"['door', 'handle']",,[-3],not happy,"['DoorTropes', 'HorrorTropes']","['GenreTropes', 'TopicalTropes']",3.04
